абайя абайя noun:inanim:f:v_naz:ua_1992
сирок сирок noun:anim:m:v_naz
сирок сирок noun:inanim:m:v_naz
сироп сироп noun:inanim:m:v_naz
сисак сисак noun:inanim:m:v_naz
сисун сисун noun:anim:m:v_naz
ситал ситал noun:inanim:m:v_naz
ситий ситий adj:m:v_naz:compb
ситий ситий noun:anim:m:v_naz
ситіш ситіше adv:compc:&predic:short
ситко ситко noun:inanim:n:v_naz
ситно ситно adv:compb:&predic
ситро ситро noun:inanim:n:v_naz
ситце ситце noun:inanim:n:v_naz
сифон сифон noun:inanim:m:v_naz
сичуг сичуг noun:inanim:m:v_naz:xp1
сичуг сичуг noun:inanim:m:v_naz:xp2
сівач сівач noun:anim:m:v_naz
сівба сівба noun:inanim:f:v_naz
сідач сідач noun:inanim:m:v_naz
сідло сідло noun:inanim:n:v_naz
сієна сієна noun:inanim:f:v_naz
сієра сієра noun:inanim:f:v_naz
сікач сікач noun:anim:m:v_naz
сікач сікач noun:inanim:m:v_naz
сікти сікти verb:imperf:inf
сімка сімка noun:inanim:f:v_naz
сінаж сінаж noun:inanim:m:v_naz
сінце сінце noun:inanim:n:v_naz
сінці сінці noun:inanim:p:v_naz:ns
сірий сірий adj:m:v_naz:compb
сірий сірий noun:anim:m:v_naz
сіріш сіріше adv:compc:&predic:short
сірка сірка noun:inanim:f:v_naz
сірко сірко noun:anim:m:v_naz
сіряк сіряк noun:anim:m:v_naz
сіряк сіряк noun:inanim:m:v_naz
сісти сісти verb:perf:inf
сітка сітка noun:inanim:f:v_naz
січка січка noun:inanim:f:v_naz
січна січна noun:inanim:f:v_naz
сішка сішка noun:inanim:f:v_naz
сіяти сіяти verb:imperf:inf:xp1
сіяти сіяти verb:imperf:inf:xp2
скайп скайп noun:inanim:m:v_naz
скала скала noun:inanim:f:v_naz
скарб скарб noun:inanim:m:v_naz
скарн скарн noun:inanim:m:v_naz
скаут скаут noun:anim:m:v_naz
сквер сквер noun:inanim:m:v_naz
сквот сквот noun:inanim:m:v_naz
сквош сквош noun:inanim:m:v_naz
скейт скейт noun:inanim:m:v_naz
скеля скеля noun:inanim:f:v_naz
скетч скетч noun:inanim:m:v_naz
скиба скиба noun:inanim:f:v_naz
скіпа скіпа noun:inanim:f:v_naz
скіфл скіфл noun:inanim:m:v_naz
скіць скіць noninfl:&predic
склад склад noun:inanim:m:v_naz
склеп склеп noun:inanim:m:v_naz
скляр скляр noun:anim:m:v_naz
скоба скоба noun:inanim:f:v_naz
скопа скопа noun:anim:f:v_naz
скоро скоро adv:compb
скорс скорс noun:inanim:m:v_naz
скорш скорше adv:compc:short
скоса скоса adv
скотч скотч noun:inanim:m:v_naz
скраб скраб noun:inanim:m:v_naz
скрап скрап noun:inanim:m:v_naz
скраю скраю adv
скрик скрик noun:inanim:m:v_naz
скрип скрип noun:inanim:m:v_naz
скрут скрут noun:inanim:m:v_naz
скунс скунс noun:anim:m:v_naz
скупо скупо adv:compb
скуто скуто adv:compb
слабо слабо adv:compb:&predic
слабш слабше adv:compc:&predic:short
слава слава noun:inanim:f:v_naz
слайд слайд noun:inanim:m:v_naz
слати слати verb:imperf:inf:xp1
слати слати verb:imperf:inf:xp2
слейв слейв noun:inanim:f:v_naz:nv
сленг сленг noun:inanim:m:v_naz
слива слива noun:inanim:f:v_naz
слина слина noun:inanim:f:v_naz
слінг слінг noun:inanim:m:v_naz
сліпи сліпи noun:inanim:p:v_naz:ns
сліпа сліпий noun:anim:f:v_naz
сліпо сліпо adv:compb
слово слово noun:inanim:n:v_naz
слоїк слоїк noun:inanim:m:v_naz
слоня слоня noun:anim:n:v_naz
слуга слуга noun:anim:m:v_naz
слуга слуга noun:anim:f:v_naz
слюда слюда noun:inanim:f:v_naz
смага смага noun:inanim:f:v_naz
смайл смайл noun:inanim:m:v_naz
смерк смерк noun:inanim:m:v_naz
смерч смерч noun:inanim:m:v_naz
смисл смисл noun:inanim:m:v_naz
сміло сміло adv:compb
сміти сміти verb:imperf:inf
смола смола noun:inanim:f:v_naz
сморж сморж noun:inanim:m:v_naz
смуга смуга noun:inanim:f:v_naz
смузі смузі noun:inanim:n:v_naz:nv
смута смута noun:inanim:f:v_naz
снага снага noun:inanim:f:v_naz
снити снити verb:imperf:inf
сниця сниця noun:inanim:f:v_naz
снище снище noun:inanim:n:v_naz
сноза сноза noun:inanim:f:v_naz
собор собор noun:inanim:m:v_naz
совка совка noun:anim:f:v_naz
совок совок noun:inanim:m:v_naz
содом содом noun:inanim:m:v_naz
сойка сойка noun:anim:f:v_naz
сокет сокет noun:inanim:m:v_naz
сокіл сокіл noun:anim:m:v_naz
сокіл сокіл noun:inanim:m:v_naz
солея солея noun:inanim:f:v_naz
солід солід noun:inanim:m:v_naz
солод солод noun:inanim:m:v_naz
соляр соляр noun:anim:m:v_naz
соляр соляр noun:inanim:m:v_naz
сомик сомик noun:anim:m:v_naz
сомон сомон noninfl
сомон сомон noun:inanim:m:v_naz:nv
сонар сонар noun:inanim:m:v_naz
сонет сонет noun:inanim:m:v_naz
сонно сонно adv:&predic
сонце сонце noun:inanim:n:v_naz
сонях сонях noun:inanim:m:v_naz
сопка сопка noun:inanim:f:v_naz
сопло сопло noun:inanim:n:v_naz
сопля сопля noun:inanim:f:v_naz
сопти сопти verb:imperf:inf
сопун сопун noun:inanim:m:v_naz
сорго сорго noun:inanim:n:v_naz:nv
сорит сорит noun:inanim:m:v_naz
сорок сорок numr:p:v_naz
сором сором noun:inanim:m:v_naz:&predic
сорус сорус noun:inanim:m:v_naz
соска соска noun:inanim:f:v_naz
сосна сосна noun:inanim:f:v_naz
сосок сосок noun:inanim:m:v_naz
сотий сотий adj:m:v_naz:&numr
сотка сотка noun:inanim:f:v_naz
сотня сотня noun:inanim:f:v_naz
софіт софіт noun:inanim:m:v_naz
софка софка noun:inanim:f:v_naz
сошка сошка noun:inanim:f:v_naz
спазм спазм noun:inanim:m:v_naz
спати спати verb:imperf:inf
спека спека noun:inanim:f:v_naz
спекл спекл noun:inanim:m:v_naz
сперш сперш adv:short
спина спина noun:inanim:f:v_naz
спирт спирт noun:inanim:m:v_naz
спиця спиця noun:inanim:f:v_naz
сплав сплав noun:inanim:m:v_naz
сплив сплив noun:inanim:m:v_naz
сплін сплін noun:inanim:m:v_naz
сплюх сплюх noun:anim:m:v_naz
спонж спонж noun:inanim:m:v_naz
спора спора noun:inanim:f:v_naz
споро споро adv
спорт спорт noun:inanim:m:v_naz
спред спред noun:inanim:m:v_naz
спрей спрей noun:inanim:m:v_naz
спрут спрут noun:anim:m:v_naz
спурт спурт noun:inanim:m:v_naz
спуск спуск noun:inanim:m:v_naz:xp1
спуск спуск noun:inanim:m:v_naz:xp2
спуст спуст noun:inanim:m:v_naz:xp1
спуст спуст noun:inanim:m:v_naz:xp2
ссати ссати verb:imperf:inf
стадо стадо noun:inanim:n:v_naz
стаєр стаєр noun:anim:m:v_naz
стаза стаза noun:inanim:f:v_naz
стала стала noun:inanim:f:v_naz
стале стале noun:inanim:n:v_naz
стало стало adv
сталь сталь noun:inanim:f:v_naz
станс станс noun:inanim:m:v_naz
старе старе noun:inanim:n:v_naz
стара старий noun:anim:f:v_naz
старт старт noun:inanim:m:v_naz
стати стати verb:perf:inf
стать стать noun:inanim:f:v_naz
ствол ствол noun:inanim:m:v_naz
створ створ noun:inanim:m:v_naz
стейк стейк noun:inanim:m:v_naz
стела стела noun:inanim:f:v_naz
стеля стеля noun:inanim:f:v_naz
стенд стенд noun:inanim:m:v_naz
стент стент noun:inanim:m:v_naz
стило стило noun:inanim:n:v_naz
стиль стиль noun:inanim:m:v_naz:xp1
стиль стиль noun:inanim:m:v_naz:xp2
стиск стиск noun:inanim:m:v_naz
стиха стиха adv
стіна стіна noun:inanim:f:v_naz
стовп стовп noun:inanim:m:v_naz
стоїк стоїк noun:anim:m:v_naz
стокс стокс noun:inanim:m:v_naz
стома стома noun:inanim:f:v_naz
стопа стопа noun:inanim:f:v_naz:xp1
стопа стопа noun:inanim:f:v_naz:xp2
сторч сторч adv
стояк стояк noun:inanim:m:v_naz
стоян стоян noun:inanim:m:v_naz
страж страж noun:anim:m:v_naz
страз страз noun:inanim:m:v_naz
страх страх noun:inanim:m:v_naz
стрес стрес noun:inanim:m:v_naz
стриб стриб noun:inanim:m:v_naz
стриж стриж noun:anim:m:v_naz
стрий стрий noun:anim:m:v_naz
стрим стрим noun:inanim:m:v_naz
стрій стрій noun:inanim:m:v_naz
стріт стріт noninfl:foreign
стріч стріч adv
строк строк noun:inanim:m:v_naz
строп строп noun:inanim:m:v_naz
струг струг noun:anim:m:v_naz
струг струг noun:inanim:m:v_naz
струм струм noun:inanim:m:v_naz
струп струп noun:inanim:m:v_naz
струс струс noun:inanim:m:v_naz
ступа ступа noun:inanim:f:v_naz
стяти стяти verb:perf:inf
субак субак noun:inanim:m:v_naz
сувій сувій noun:inanim:m:v_naz
сугак сугак noun:anim:m:v_naz
судак судак noun:anim:m:v_naz
судан судан noun:inanim:m:v_naz
суддя суддя noun:anim:m:v_naz
суддя суддя noun:anim:f:v_naz
судза судза noun:inanim:f:v_naz
судно судно adv
судно судно noun:inanim:n:v_naz
судок судок noun:inanim:m:v_naz
суєта суєта noun:inanim:f:v_naz
сукно сукно noun:inanim:n:v_naz
сукня сукня noun:inanim:f:v_naz
сулія сулія noun:inanim:f:v_naz
суміш суміш noun:inanim:f:v_naz
сумка сумка noun:inanim:f:v_naz
сумно сумно adv:compb:&predic
суніт суніт noun:anim:m:v_naz
суомі суомі noun:anim:m:v_naz:nv
суомі суомі noun:anim:f:v_naz:nv
суомі суомі noun:inanim:f:v_naz:nv
супін супін noun:inanim:m:v_naz
сурик сурик noun:inanim:m:v_naz
сурма сурма noun:inanim:f:v_naz
сусак сусак noun:inanim:m:v_naz
сусід сусід noun:anim:m:v_naz
сусло сусло noun:inanim:n:v_naz
сутаж сутаж noun:inanim:m:v_naz
сутри сутри noun:inanim:p:v_naz:ns
суфій суфій noun:anim:m:v_naz
суфле суфле noun:inanim:n:v_naz:nv
сухар сухар noun:inanim:m:v_naz
сухий сухий adj:m:v_naz:compb
сухіш сухіше adv:compc:&predic:short
сучий сучий adj:m:v_naz
сучка сучка noun:anim:f:v_naz
сучок сучок noun:inanim:m:v_naz
суччя суччя noun:inanim:n:v_naz
сушка сушка noun:inanim:f:v_naz
сушня сушня noun:inanim:f:v_naz
сущий сущий adj:m:v_naz
сфера сфера noun:inanim:f:v_naz
схема схема noun:inanim:f:v_naz
схима схима noun:inanim:f:v_naz
схлип схлип noun:inanim:m:v_naz
сходи сходи noun:inanim:p:v_naz:ns
схоже схоже adv:&insert
схрон схрон noun:inanim:m:v_naz
сцена сцена noun:inanim:f:v_naz
сьєра сьєра noun:inanim:f:v_naz
сьорб сьорб noninfl:&predic
сюжет сюжет noun:inanim:m:v_naz
сюїта сюїта noun:inanim:f:v_naz
сяєво сяєво noun:inanim:n:v_naz
сяжки сяжки noun:inanim:p:v_naz:ns
сяйво сяйво noun:inanim:n:v_naz
сяйно сяйно adv
сякий сякий adj:m:v_naz:&pron:def
сяяти сяяти verb:imperf:inf
таана таана noun:inanim:m:v_naz:nv
табес табес noun:inanim:m:v_naz
табір табір noun:inanim:m:v_naz
табло табло noun:inanim:n:v_naz:nv
табор табор noun:inanim:m:v_naz
табун табун noun:inanim:m:v_naz
тавот тавот noun:inanim:m:v_naz
тавро тавро noun:inanim:n:v_naz
тагал тагал noun:anim:m:v_naz
таган таган noun:inanim:m:v_naz
таєць таєць noun:anim:m:v_naz
тазик тазик noun:inanim:m:v_naz
таїна таїна noun:inanim:f:v_naz
таїти таїти verb:imperf:inf
тайга тайга noun:inanim:f:v_naz
тайка тайка noun:anim:f:v_naz
таймз таймз noninfl:foreign
таймс таймс noninfl:foreign
тайна тайна noun:inanim:f:v_naz
такий такий adj:m:v_naz:&pron:dem
такир такир noun:inanim:m:v_naz
також також adv
також також conj:coord
такса такса noun:anim:f:v_naz
такса такса noun:inanim:f:v_naz
таксі таксі noun:inanim:n:v_naz:nv
такшо такшо noninfl:subst
талан талан noun:inanim:m:v_naz
талер талер noun:inanim:m:v_naz
талес талес noun:inanim:m:v_naz
талий талий adj:m:v_naz
талиш талиш noun:anim:m:v_naz
таліб таліб noun:anim:m:v_naz
талій талій noun:inanim:m:v_naz
талія талія noun:inanim:f:v_naz
талом талом noun:inanim:m:v_naz
талон талон noun:inanim:m:v_naz
тальк тальк noun:inanim:m:v_naz
таляр таляр noun:inanim:m:v_naz
тамга тамга noun:inanim:f:v_naz
таміл таміл noun:anim:m:v_naz
танго танго noun:inanim:n:v_naz:nv
танід танід noun:inanim:m:v_naz
танін танін noun:inanim:m:v_naz
танок танок noun:inanim:m:v_naz
тапер тапер noun:anim:m:v_naz
тапір тапір noun:anim:m:v_naz
таран таран noun:inanim:m:v_naz
тариф тариф noun:inanim:m:v_naz
татів татів adj:m:v_naz
татко татко noun:anim:m:v_naz
тафта тафта noun:inanim:f:v_naz
тахля тахля noun:inanim:f:v_naz
тахта тахта noun:inanim:f:v_naz
тачка тачка noun:inanim:f:v_naz
твань твань noun:inanim:f:v_naz
тверк тверк noun:inanim:m:v_naz
твіст твіст noun:inanim:m:v_naz
театр театр noun:inanim:m:v_naz
тезис тезис noun:inanim:m:v_naz
тезка тезка noun:anim:m:v_naz
тезка тезка noun:anim:f:v_naz
тезко тезко noun:anim:m:v_naz
теїзм теїзм noun:inanim:m:v_naz
теїст теїст noun:anim:m:v_naz
текст текст noun:inanim:m:v_naz
текти текти verb:imperf:inf
теліп теліп noninfl:&predic
телур телур noun:inanim:m:v_naz
тембр тембр noun:inanim:m:v_naz
тембу тембу noun:anim:n:v_naz:nv
темка темка noun:inanim:f:v_naz
темно темно adv:compb:&predic
тенге тенге noun:inanim:m:v_naz:nv
теніс теніс noun:inanim:m:v_naz
теніт теніт noun:inanim:m:v_naz
тенор тенор noun:anim:m:v_naz
тенор тенор noun:inanim:m:v_naz
тепер тепер adv:&pron:dem
тепло тепло adv:compb:&predic
тепло тепло noun:inanim:n:v_naz
терем терем noun:inanim:m:v_naz
терен терен noun:inanim:m:v_naz:xp1
терен терен noun:inanim:m:v_naz:xp2
терка терка noun:inanim:f:v_naz
терло терло noun:inanim:n:v_naz
терни терни noun:inanim:p:v_naz:ns
терня терня noun:inanim:n:v_naz
терор терор noun:inanim:m:v_naz
терти терти verb:imperf:inf
тертя тертя noun:inanim:n:v_naz
тесак тесак noun:inanim:m:v_naz
тесла тесла noun:inanim:f:v_naz
тесло тесло noun:inanim:n:v_naz
тесля тесля noun:anim:m:v_naz
тесть тесть noun:anim:m:v_naz
тетрі тетрі noun:inanim:n:v_naz:nv
тетум тетум noun:inanim:f:v_naz:nv
теург теург noun:anim:m:v_naz
техно техно noun:inanim:n:v_naz:nv
течія течія noun:inanim:f:v_naz
течка течка noun:inanim:f:v_naz
тещин тещин adj:m:v_naz
тивун тивун noun:anim:m:v_naz
тигря тигря noun:anim:n:v_naz
тикер тикер noun:inanim:m:v_naz
тимін тимін noun:inanim:m:v_naz
тимол тимол noun:inanim:m:v_naz
тимус тимус noun:inanim:m:v_naz
тиння тиння noun:inanim:n:v_naz
тинок тинок noun:inanim:m:v_naz
тиньк тиньк noun:inanim:m:v_naz
типаж типаж noun:inanim:m:v_naz
тираж тираж noun:inanim:m:v_naz
тиран тиран noun:anim:m:v_naz
тирит тирит noun:inanim:m:v_naz
тирка тирка noun:anim:f:v_naz
тирло тирло noun:inanim:n:v_naz
тирса тирса noun:inanim:f:v_naz
титан титан noun:anim:m:v_naz
титан титан noun:inanim:m:v_naz:xp1
титан титан noun:inanim:m:v_naz:xp2
титар титар noun:anim:m:v_naz
титла титла noun:inanim:f:v_naz
титло титло noun:inanim:n:v_naz
титул титул noun:inanim:m:v_naz
тихий тихий adj:m:v_naz:compb
тихіш тихіше adv:compc:&predic:short
тихше тихше adv:compc:&predic
тичка тичка noun:inanim:f:v_naz
тіара тіара noun:inanim:f:v_naz
тіпун тіпун noun:inanim:m:v_naz
тісно тісно adv:compb
тісто тісто noun:inanim:n:v_naz
тітка тітка noun:anim:f:v_naz
тічка тічка noun:inanim:f:v_naz
тічня тічня noun:inanim:f:v_naz
ткаля ткаля noun:anim:f:v_naz
ткати ткати verb:imperf:inf
тлінь тлінь noun:inanim:f:v_naz
тліти тліти verb:imperf:inf
тнути тнути verb:imperf:inf
тобто тобто conj:subord
тобто тобто part
товар товар noun:inanim:m:v_naz
товба товба noun:anim:m:v_naz
товба товба noun:anim:f:v_naz
товща товща noun:inanim:f:v_naz
товще товще adv:compc
тодес тодес noun:inanim:m:v_naz
токай токай noun:inanim:m:v_naz
токар токар noun:anim:m:v_naz
токен токен noun:inanim:m:v_naz
толар толар noun:inanim:m:v_naz
томат томат noun:inanim:m:v_naz:xp1
томат томат noun:inanim:m:v_naz:xp2
томик томик noun:inanim:m:v_naz
томос томос noun:inanim:m:v_naz
тонга тонга noun:anim:p:v_naz:nv:ns
тондо тондо noun:inanim:n:v_naz:nv
тонер тонер noun:inanim:m:v_naz
тонік тонік noun:inanim:m:v_naz
тонко тонко adv:compb
тонна тонна noun:inanim:f:v_naz
тонус тонус noun:inanim:m:v_naz
тонше тонше adv:compc
топаз топаз noun:inanim:m:v_naz
топік топік noun:inanim:m:v_naz
топіт топіт noun:inanim:m:v_naz
топка топка noun:inanim:f:v_naz
топос топос noun:inanim:m:v_naz
топуз топуз noun:inanim:m:v_naz
торба торба noun:inanim:f:v_naz
торит торит noun:inanim:m:v_naz
торій торій noun:inanim:m:v_naz
торік торік adv
торон торон noun:inanim:m:v_naz
торос торос noun:inanim:m:v_naz
тотем тотем noun:inanim:m:v_naz
точка точка noun:inanim:f:v_naz
точно точно adv:compb
точок точок noun:inanim:m:v_naz
трава трава noun:inanim:f:v_naz
тракт тракт noun:inanim:m:v_naz
транс транс noun:inanim:m:v_naz
транш транш noun:inanim:m:v_naz
траса траса noun:inanim:f:v_naz
траст траст noun:inanim:m:v_naz
трата трата noun:inanim:f:v_naz
траур траур noun:inanim:m:v_naz
треба треба noninfl:&predic
треба треба noun:inanim:f:v_naz
трейд трейд noninfl
трейл трейл noun:inanim:m:v_naz
трель трель noun:inanim:f:v_naz
тренд тренд noun:inanim:m:v_naz
тренч тренч noun:inanim:m:v_naz
трест трест noun:inanim:m:v_naz
трефа трефа noun:inanim:f:v_naz
триба триба noun:inanim:f:v_naz
тризм тризм noun:inanim:m:v_naz
трико трико noun:inanim:n:v_naz:nv
трина трина noun:inanim:f:v_naz
трипс трипс noun:anim:m:v_naz
триух триух noun:inanim:m:v_naz
тричі тричі adv
тріас тріас noun:inanim:m:v_naz
трієр трієр noun:inanim:m:v_naz
тріод тріод noun:inanim:m:v_naz
тріск тріск noun:inanim:m:v_naz
трісь трісь onomat
троль троль noun:anim:m:v_naz
тромб тромб noun:inanim:m:v_naz
тромп тромп noun:inanim:m:v_naz
тропа тропа noun:inanim:f:v_naz
трохи трохи adv
трояк трояк noun:inanim:m:v_naz
троян троян noun:inanim:m:v_naz
труба труба noun:inanim:f:v_naz:&predic
труна труна noun:inanim:f:v_naz
трупа трупа noun:inanim:f:v_naz
труси труси noun:inanim:p:v_naz:ns
трюмо трюмо noun:inanim:n:v_naz:nv
тсуга тсуга noun:inanim:f:v_naz
туаль туаль noun:inanim:f:v_naz
тубик тубик noun:inanim:m:v_naz
тубус тубус noun:inanim:m:v_naz
тугий тугий adj:m:v_naz:compb
тугіш тугіше adv:compc:&predic:short
тужно тужно adv:compb:&predic
тукан тукан noun:anim:m:v_naz
тулій тулій noun:inanim:m:v_naz
тулія тулія noun:inanim:f:v_naz
тулуб тулуб noun:inanim:m:v_naz
тумак тумак noun:anim:m:v_naz
тумак тумак noun:inanim:m:v_naz
туман туман noun:inanim:m:v_naz:xp2
тумба тумба noun:inanim:f:v_naz
тумен тумен noun:inanim:m:v_naz
тумор тумор noun:inanim:m:v_naz
тупак тупак noun:anim:m:v_naz
тупак тупак noun:inanim:m:v_naz
тупий тупий adj:m:v_naz:compb
тупик тупик noun:inanim:m:v_naz
тупіт тупіт noun:inanim:m:v_naz
тупіш тупіше adv:compc:short
турач турач noun:anim:m:v_naz
турів турів adj:m:v_naz
турка турка noun:inanim:f:v_naz
турне турне noun:inanim:n:v_naz:nv
турок турок noun:anim:m:v_naz
турун турун noun:anim:m:v_naz
турча турча noun:anim:n:v_naz
тусан тусан noun:inanim:m:v_naz
тутсі тутсі noun:anim:p:v_naz:nv:ns
туфіт туфіт noun:inanim:m:v_naz
туфля туфля noun:inanim:f:v_naz
туфта туфта noun:inanim:f:v_naz
тушка тушка noun:anim:f:v_naz
тушка тушка noun:inanim:f:v_naz
тьотя тьотя noun:anim:f:v_naz
тюбаж тюбаж noun:inanim:m:v_naz
тюбик тюбик noun:inanim:m:v_naz
тюнер тюнер noun:inanim:m:v_naz
тюпки тюпки adv
тюрбе тюрбе noun:inanim:m:v_naz:nv
тюрбо тюрбо noun:anim:m:v_naz:nv
тюрбо тюрбо noun:anim:n:v_naz:nv
тюрма тюрма noun:inanim:f:v_naz
тютюн тютюн noun:inanim:m:v_naz
тягар тягар noun:inanim:m:v_naz
тягач тягач noun:inanim:m:v_naz
тягло тягло noun:inanim:n:v_naz
тягти тягти verb:imperf:inf
тягун тягун noun:inanim:m:v_naz
тяжба тяжба noun:inanim:f:v_naz
тяжко тяжко adv:compb:&predic
тяжок тяжок noun:inanim:m:v_naz
тяжче тяжче adv:compc:&predic
тямка тямка noun:inanim:f:v_naz
уазик уазик noun:inanim:m:v_naz
убити убити verb:perf:inf
убита убитий noun:anim:f:v_naz
убога убогий noun:anim:f:v_naz
убого убого adv:compb
убрід убрід adv
убрус убрус noun:inanim:m:v_naz
убути убути verb:perf:inf
увага увага noun:inanim:f:v_naz
увеїт увеїт noun:inanim:m:v_naz
увера увера noun:anim:m:v_naz
увера увера noun:anim:f:v_naz
уверх уверх adv
увесь увесь adj:m:v_naz:&pron:gen
увити увити verb:perf:inf
уволю уволю adv
угара угара noun:anim:m:v_naz
угара угара noun:anim:f:v_naz
углиб углиб adv
углиб углиб prep
углич углич noun:anim:m:v_naz
угода угода noun:inanim:f:v_naz
угорі угорі adv
угорі угорі prep
угору угору adv
угрин угрин noun:anim:m:v_naz
удало удало adv:compb
удати удати verb:perf:inf
удача удача noun:inanim:f:v_naz
удвоє удвоє adv
удвох удвох adv
удень удень adv
удова удова noun:anim:f:v_naz
удовж удовж adv
удовж удовж prep
удома удома adv
ужити ужити verb:perf:inf
узбек узбек noun:anim:m:v_naz
узбіч узбіч adv
узвар узвар noun:inanim:m:v_naz
узвіз узвіз noun:inanim:m:v_naz
узути узути verb:perf:inf
узяти узяти verb:perf:inf
уїсти уїсти verb:perf:inf
уйгур уйгур noun:anim:m:v_naz
уклад уклад noun:inanim:m:v_naz
уклін уклін noun:inanim:m:v_naz
уклон уклон noun:inanim:m:v_naz
украй украй adv
укріп укріп noun:inanim:m:v_naz
укупі укупі adv
улити улити verb:perf:inf
уліво уліво adv
ульва ульва noun:inanim:f:v_naz
ульчі ульчі noun:anim:p:v_naz:ns
умбра умбра noun:inanim:f:v_naz
умбри умбри noun:anim:p:v_naz:ns
умент умент adv
умити умити verb:perf:inf
умить умить adv
уміло уміло adv:compb
уміст уміст noun:inanim:m:v_naz
уміти уміти verb:imperf:inf
умова умова noun:inanim:f:v_naz
унабі унабі noun:inanim:m:v_naz:nv
унада унада noun:inanim:f:v_naz
унизу унизу adv
унизу унизу prep
уніат уніат noun:anim:m:v_naz
унізм унізм noun:inanim:m:v_naz
уночі уночі adv
унтер унтер noun:anim:m:v_naz
унуча унуча noun:anim:n:v_naz
унція унція noun:inanim:f:v_naz
упень упень adv
уперш уперш adv:short
упити упити verb:perf:inf
упіст упіст noun:anim:m:v_naz
уплав уплав adv
уплив уплив noun:inanim:m:v_naz
упору упору adv
упряж упряж noun:inanim:f:v_naz
ураза ураза noun:inanim:f:v_naz
уреат уреат noun:inanim:m:v_naz
урема урема noun:inanim:f:v_naz
урина урина noun:inanim:f:v_naz
урити урити verb:perf:inf
урода урода noun:inanim:f:v_naz
уруми уруми noun:anim:p:v_naz:ns
услід услід adv
услід услід prep
усмак усмак adv
усміх усміх noun:inanim:m:v_naz
усний усний adj:m:v_naz
усоте усоте adv
успід успід adv
успіх успіх noun:inanim:m:v_naz
устав устав noun:inanim:m:v_naz
усташ усташ noun:anim:m:v_naz
уступ уступ noun:inanim:m:v_naz
устяж устяж adv
усуху усуху adv
усюди усюди adv:&pron:gen
усюди усюди noun:inanim:p:v_naz:ns
усяко усяко adv
утвір утвір noun:inanim:m:v_naz
утеча утеча noun:inanim:f:v_naz
утиль утиль noun:inanim:m:v_naz
утиск утиск noun:inanim:m:v_naz
утіха утіха noun:inanim:f:v_naz
утлий утлий adj:m:v_naz
утома утома noun:inanim:f:v_naz
утроє утроє adv
утяти утяти verb:perf:inf
ухати ухати verb:imperf:inf
учвал учвал adv
учена учений noun:anim:f:v_naz
учень учень noun:anim:m:v_naz
учити учити verb:imperf:inf
учора учора adv
учути учути verb:perf:inf
ушити ушити verb:perf:inf
ущент ущент adv
уявки уявки adv
уявне уявне noun:inanim:n:v_naz
уявно уявно adv
фабра фабра noun:inanim:f:v_naz
фавор фавор noun:inanim:m:v_naz
фагот фагот noun:inanim:m:v_naz
фазан фазан noun:anim:m:v_naz
фазис фазис noun:inanim:m:v_naz
файда файда noun:inanim:f:v_naz
файно файно adv:compb:&predic
факел факел noun:inanim:m:v_naz
факір факір noun:anim:m:v_naz
факто факто noninfl
фалда фалда noun:inanim:f:v_naz
фалос фалос noun:inanim:m:v_naz
фальц фальц noun:inanim:m:v_naz
фальш фальш noun:inanim:m:v_naz
фальш фальш noun:inanim:f:v_naz
фанат фанат noun:anim:m:v_naz
фанза фанза noun:inanim:f:v_naz
фарад фарад noun:inanim:m:v_naz
фарба фарба noun:inanim:f:v_naz
фарсі фарсі noun:inanim:f:v_naz:nv
фасад фасад noun:inanim:m:v_naz
фасет фасет noun:inanim:m:v_naz
фаска фаска noun:inanim:f:v_naz
фасон фасон noun:inanim:m:v_naz
фатва фатва noun:inanim:f:v_naz
фатин фатин noun:inanim:m:v_naz
фатум фатум noun:inanim:m:v_naz
фауна фауна noun:inanim:f:v_naz
фацет фацет noun:inanim:m:v_naz
фація фація noun:inanim:f:v_naz
фаянс фаянс noun:inanim:m:v_naz
феаки феаки noun:anim:p:v_naz:ns
фелах фелах noun:anim:m:v_naz
фелон фелон noun:inanim:m:v_naz
феніл феніл noun:inanim:m:v_naz
феніт феніт noun:inanim:m:v_naz
фенол фенол noun:inanim:m:v_naz
ферзь ферзь noun:anim:m:v_naz
ферит ферит noun:inanim:m:v_naz
ферма ферма noun:inanim:f:v_naz
ферум ферум noun:inanim:m:v_naz
феска феска noun:inanim:f:v_naz
фетва фетва noun:inanim:f:v_naz
фетиш фетиш noun:inanim:m:v_naz
фіакр фіакр noun:inanim:m:v_naz
фібра фібра noun:inanim:f:v_naz
фіглі фіглі noun:inanim:p:v_naz:ns
фіґлі фіґлі noun:inanim:p:v_naz:ns
фідер фідер noun:inanim:m:v_naz
фіджі фіджі noun:inanim:f:v_naz:nv
фізик фізик noun:anim:m:v_naz
фізія фізія noun:inanim:f:v_naz
фікус фікус noun:inanim:m:v_naz
фікшн фікшн noun:inanim:m:v_naz
філей філей noun:inanim:m:v_naz
філер філер noun:anim:m:v_naz
філер філер noun:inanim:m:v_naz
філіт філіт noun:inanim:m:v_naz
філія філія noun:inanim:f:v_naz
фільм фільм noun:inanim:m:v_naz
фільц фільц noun:inanim:m:v_naz
фімоз фімоз noun:inanim:m:v_naz
фінал фінал noun:inanim:m:v_naz
